Toidu nimi (EST),Kcal,Süsivesikud,Rasvad,Kiudained,Valgud,Vesi,Suhkrud
Mädarõigas,104,20.3,0.700,7.30,7.70,69.5,8.60
Magushapu kaste,83.3,20.4,0.200,0.775,0.400,78.4,16.2
Mahl,48.5,11.8,0.050,0.125,0.363,87.5,11.2
Mahlajäätis,101,23.9,0.400,0,0.400,75.1,0
Mahlajook,46.3,11.3,0.100,0.100,0.100,88.4,11.1
Mais,99.8,22.0,0.500,1.80,2.90,73.7,8.90
Maisigalett,383,83.1,3.76,7.15,7.93,3.96,0.800
Maisijahu,341,75.7,2.80,9.40,8.70,11.6,0.600
Maisikepikesed,493,68.4,22.0,3.40,7.00,0.600,21.7
Maisikrõpsud,492,62.3,25.0,4.35,7.00,1.64,1.10
Maisiõli,900,0,100.0,0,0,0,0
Maisipallid,428,71.5,15.2,1.65,2.40,10.3,52.2
Maisisiirup,310,77.6,0,0,0,22.3,33.8
Maisitärklis,346,86.0,0.100,0.100,0.400,13.3,0
Maitsevesi,22.2,5.55,0,0,0,94.3,5.50
Majonees,473,5.05,50.0,0.009,0.700,43.1,2.30
Makadaamia pähklid,754,14.2,75.8,8.60,7.91,0.930,4.57
Makaronid,158,33.1,0.790,1.49,5.40,60.4,0.220
Makra,122,15.8,3.60,0.300,6.80,73.7,3.70
Makrell,208,0,14.5,0,19.4,64.3,0
Maksapasteet,237,2.67,18.3,0.382,15.6,62.2,0.951
Maksavorst,211,3.77,16.0,0.269,13.0,65.3,1.20
Mandariin,43.7,10.4,0.100,1.25,0.900,88.2,8.45
Mandariinimahl,46.6,10.8,0.140,0.150,0.660,88.1,10.00
Mandlid,635,17.3,55.8,10.4,21.1,2.80,4.20
Mandliõli,900,0,100.0,0,0,0,0
Mandlipiim,24.3,3.20,1.10,0.200,0.500,95.0,3.00
Mandlivõi,638,18.8,55.5,10.3,21.0,1.60,4.40
Mango,59.5,14.1,0.450,1.70,0.600,84.3,12.4
Manna,345,74.9,1.10,2.80,10.2,13.4,0.400
Männiriisikad,43.4,8.70,0.860,3.50,1.96,87.1,5.00
Margariin,452,0.500,50.0,0,0.100,48.4,0.500
Marjad,48.7,12.3,0.549,4.39,1.09,85.5,6.66
Marmelaad,332,83.0,0,0,0,16.8,54.7
